vehicleId,vehicleTypeId
1,CAR
2,CAR
3,CAR
4,CAR
5,CAR
6,CAR
7,CAR
8,CAR
9,CAR
10,CAR
11,CAR
12,CAR
13,CAR
14,CAR
15,CAR
16,CAR
17,CAR
18,CAR
19,CAR
20,CAR
21,CAR
22,CAR
23,CAR
24,CAR
25,CAR
26,CAR
27,CAR
28,CAR
29,CAR
30,CAR
31,CAR
32,CAR
33,CAR
34,CAR
35,CAR
36,CAR
37,CAR
38,CAR
39,CAR
40,CAR
41,CAR
42,CAR
43,CAR
44,CAR
45,CAR
46,CAR
47,CAR
48,CAR
49,CAR
50,CAR
51,CAR
52,CAR
53,CAR
54,CAR
55,CAR
56,CAR
57,CAR
58,CAR
59,CAR
60,CAR
61,CAR
62,CAR
63,CAR
64,CAR
65,CAR
66,CAR
67,CAR
68,CAR
69,CAR
70,CAR
71,CAR
72,CAR
73,CAR
74,CAR
75,CAR
76,CAR
77,CAR
78,CAR
79,CAR
80,CAR
81,CAR
82,CAR
83,CAR
84,CAR
85,CAR
86,CAR
87,CAR
88,CAR
89,CAR
90,CAR
91,CAR
92,CAR
93,CAR
94,CAR
95,CAR
96,CAR
97,CAR
98,CAR
99,CAR
100,CAR
